district,neighborhood,room,living_room,area,age,floor,price
 Kağıthane , Emniyet Evleri Mah.,2,1,85,10,1,30000
 Beşiktaş , Arnavutköy Mah.,2,1,120,45,2,50000
 Beşiktaş , Dikilitaş Mah.,3,1,100,0,1,46000
 Çekmeköy , Nişantepe Mah.,2,1,75,0,6,27000
 Maltepe , Altayçeşme Mah.,3,1,125,26,4,37500
 Kadıköy , Göztepe Mah.,2,1,70,0,1,55000
 Kadıköy , Kozyatağı Mah.,2,1,100,6,4,55000
 Beylikdüzü , Cumhuriyet Mah.,3,1,175,1,3,56000
 Fatih , Şehremini Mah.,2,1,85,38,1,22000
 Sarıyer , Huzur Mah.,3,1,170,10,7,75000
 Ümraniye , Finanskent Mah.,2,1,102,2,3,43000
 Kağıthane , Seyrantepe Mah.,2,1,100,0,2,41000
 Bayrampaşa , Terazidere Mah.,2,1,90,30,2,23000
 Çekmeköy , Mimar Sinan Mah.,1,1,70,0,0,17000
 Kağıthane , Gültepe Mah.,2,1,95,5,0,21000
 Üsküdar , Zeynep Kamil Mah.,2,1,120,25,5,38000
 Eyüpsultan , Güzeltepe Mah.,2,1,95,0,6,32000
 Zeytinburnu , Seyitnizam Mah.,3,1,125,26,7,38500
 Küçükçekmece , Cumhuriyet Mah.,3,1,125,6,2,18000
 Ataşehir , İçerenköy Mah.,2,1,85,14,2,29000
 Bahçelievler , Siyavuşpaşa Mah.,3,1,120,40,4,25000
 Bahçelievler , Bahçelievler Mah.,2,1,90,33,2,17000
 Ataşehir , İçerenköy Mah.,3,1,100,30,2,22500
 Kadıköy , Merdivenköy Mah.,2,1,90,0,1,52000
 Şişli , Merkez Mah.,1,1,70,11,2,40000
 Silivri , Yeni Mah.,3,1,145,0,4,37000
 Esenyurt , Güzelyurt Mah.,2,1,115,4,1,15000
 Zeytinburnu , Nuripaşa Mah.,3,1,130,29,1,26500
 Sarıyer , Reşitpaşa Mah.,3,1,120,25,2,42000
 Beyoğlu , Katip Mustafa Çelebi Mah.,1,1,65,25,2,22500
 Kağıthane , Çeliktepe Mah.,3,1,100,35,0,18000
 Şişli , Mecidiyeköy Mah.,2,1,85,18,2,22000
 Fatih , Şehremini Mah.,2,1,85,35,4,18000
 Üsküdar , Valide-i Atik Mah.,2,1,85,30,3,25000
 Beyoğlu , Ömer Avni Mah.,3,1,110,31,2,40000
 Esenyurt , Bağlarçeşme Mah.,2,1,100,8,1,12000
 Kartal , Hürriyet Mah.,2,1,100,27,3,17000
 Üsküdar , Cumhuriyet Mah.,1,1,100,8,0,21500
 Fatih , Molla Gürani Mah.,3,1,140,30,1,30000
 Fatih , Seyyid Ömer Mah.,2,1,80,42,1,18500
 Kartal , Karlıktepe Mah.,3,1,105,20,5,27000
 Kağıthane , Sultan Selim Mah.,2,1,85,25,0,20500
 Fatih , Şehremini Mah.,3,1,100,39,2,29000
 Bakırköy , Yeşilköy Mah.,2,1,85,5,0,45000
 Şişli , Fulya Mah.,3,1,150,35,1,40000
 Şişli , Mecidiyeköy Mah.,2,1,105,20,4,24000
 Kağıthane , Ortabayır Mah.,1,1,60,30,1,20000
 Şişli , Gülbahar Mah.,1,1,65,6,2,15500
 Şişli , Mecidiyeköy Mah.,2,1,80,22,1,18000
 Şişli , Mecidiyeköy Mah.,1,1,60,4,0,40000
 Maltepe , Altıntepe Mah.,3,1,135,26,5,35000
 Kağıthane , Emniyet Evleri Mah.,2,1,70,28,2,18000
 Maltepe , Yalı Mah.,2,1,70,0,2,40000
 Maltepe , Altayçeşme Mah.,2,1,105,26,1,33000
 Kadıköy , Fikirtepe Mah.,2,1,145,4,3,54000
 Bahçelievler , Bahçelievler Mah.,3,1,120,6,2,55000
 Tuzla , Postane Mah.,3,1,100,0,2,32000
 Sarıyer , Maden Mah.,3,1,108,16,0,32000
 Beşiktaş , Nisbetiye Mah.,4,1,220,35,7,80000
 Beşiktaş , Gayrettepe Mah.,2,1,160,30,2,57000
 Ataşehir , Küçükbakkalköy Mah.,3,1,90,8,4,46000
 Beşiktaş , Bebek Mah.,2,1,100,40,3,45000
 Bahçelievler , Siyavuşpaşa Mah.,3,1,115,40,5,25000
 Beşiktaş , Dikilitaş Mah.,3,1,120,27,-1,26000
 Zeytinburnu , Nuripaşa Mah.,2,1,80,28,0,13000
 Bahçelievler , Zafer Mah.,2,1,100,30,3,18000
 Şişli , Mecidiyeköy Mah.,1,1,59,7,1,23000
 Küçükçekmece , Yeni Mahalle Mah.,1,1,75,15,0,15000
 Bayrampaşa , Terazidere Mah.,1,1,65,28,2,15000
 Kağıthane , Ortabayır Mah.,2,1,85,35,1,20000
 Üsküdar , Cumhuriyet Mah.,1,1,60,27,5,14000
 Beyoğlu , Gümüşsuyu Mah.,2,1,90,40,2,30000
 Kağıthane , Telsizler Mah.,2,1,75,1,1,32000
 Kadıköy , Merdivenköy Mah.,3,1,120,38,3,30000
 Şişli , Feriköy Mah.,2,1,100,30,5,32000
 Kağıthane , Sultan Selim Mah.,2,1,85,25,0,20500
 Bahçelievler , Bahçelievler Mah.,2,1,85,35,5,17500
